"Bullying Counts, 2015-16"
"All Districts"

"",,"Bullying Type",
"DISTRICT","District Code","Number of students with at least 1 bullying incident","Counts of Bullying Incidents"
"Achievement First Hartford Academy Inc. District","=""2880013""","*","*"
"Amistad Academy District","=""2790013""","*","*"
"Ansonia School District","=""0020011""","*","*"
"Area Cooperative Educational Services","=""2440014""","*","*"
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""","*",8
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Bridgeport Achievement First District","=""2850013""",8,11
"Bridgeport School District","=""0150011""",28,40
"Bristol School District","=""0170011""",16,19
"Brookfield School District","=""0180011""","*","*"
"Brooklyn School District","=""0190011""",9,13
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Capitol Region Education Council","=""2410014""",8,9
"Cheshire School District","=""0250011""",15,19
"Connecticut Technical High School System","=""9000016""",19,21
"Cooperative Educational Services","=""2430014""","*","*"
"Cornwall School District","=""0310011""","*","*"
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",15,22
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",7,8
"East Haven School District","=""0440011""","*","*"
"Eastford School District","=""0390011""","*","*"
"Ellington School District","=""0480011""",10,11
"Elm City College Preparatory School District","=""2890013""","*","*"
"Enfield School District","=""0490011""","*","*"
"Farmington School District","=""0520011""",12,15
"Glastonbury School District","=""0540011""","*","*"
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""","*",7
"Groton School District","=""0590011""","*","*"
"Guilford School District","=""0600011""",16,17
"Hamden School District","=""0620011""",7,10
"Hartford School District","=""0640011""",50,56
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Highville Charter School District","=""2860013""","*","*"
"Killingly School District","=""0690011""",16,18
"Learn","=""2450014""","*","*"
"Ledyard School District","=""0720011""",7,8
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""",11,12
"Meriden School District","=""0800011""",11,14
"Middletown School District","=""0830011""","*","*"
"Milford School District","=""0840011""","*",6
"Monroe School District","=""0850011""","*","*"
"Naugatuck School District","=""0880011""","*","*"
"New Britain School District","=""0890011""",10,10
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""","*","*"
"New Haven School District","=""0930011""",31,37
"New London School District","=""0950011""",13,14
"Newington School District","=""0940011""","*","*"
"Newtown School District","=""0970011""","*","*"
"North Branford School District","=""0990011""","*",6
"North Haven School District","=""1010011""",6,8
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",8,10
"Norwich Free Academy District","=""9010022""","*",6
"Norwich School District","=""1040011""","*","*"
"Odyssey Community School District","=""2630013""","*","*"
"Old Saybrook School District","=""1060011""","*","*"
"Oxford School District","=""1080011""","*","*"
"Path Academy District","=""2930013""","*","*"
"Plainfield School District","=""1090011""",16,17
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Redding School District","=""1170011""","*","*"
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""","*","*"
"Regional School District 06","=""2060012""",18,22
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""","*","*"
"Regional School District 11","=""2110012""","*",6
"Regional School District 12","=""2120012""",6,6
"Regional School District 13","=""2130012""","*","*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""","*",6
"Regional School District 16","=""2160012""","*","*"
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""","*","*"
"Rocky Hill School District","=""1190011""","*","*"
"Salem School District","=""1210011""","*","*"
"Seymour School District","=""1240011""","*","*"
"Shelton School District","=""1260011""",28,28
"Simsbury School District","=""1280011""","*","*"
"Somers School District","=""1290011""","*","*"
"Southington School District","=""1310011""",13,13
"Stamford Charter School for Excellence District","=""2960013""","*","*"
"Stamford School District","=""1350011""",14,14
"Stonington School District","=""1370011""","*","*"
"Stratford School District","=""1380011""","*","*"
"Suffield School District","=""1390011""",9,14
"Thomaston School District","=""1400011""",18,21
"Thompson School District","=""1410011""","*","*"
"Torrington School District","=""1430011""","*","*"
"Trumbull School District","=""1440011""",8,10
"Vernon School District","=""1460011""","*","*"
"Wallingford School District","=""1480011""","*","*"
"Waterbury School District","=""1510011""",7,10
"Watertown School District","=""1530011""","*","*"
"West Hartford School District","=""1550011""",10,11
"Weston School District","=""1570011""","*","*"
"Westport School District","=""1580011""",6,8
"Wethersfield School District","=""1590011""",6,6
"Wilton School District","=""1610011""","*","*"
"Winchester School District","=""1620011""","*","*"
"Windham School District","=""1630011""","*","*"
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""","*","*"
"Woodstock Academy District","=""9030022""","*","*"

